,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
677,MoSDeF,MC,mcccs,pentaneUA-constrain_bonds,0,372.0,0.5406758590222753,0.012212625946259287,trappe-ua
678,MoSDeF,MD,hoomd,waterSPCE,15,300.0,0.9977922551062925,0.007547082010395627,spce
679,MoSDeF,MD,gromacs,methaneUA,13,140.0,0.37590675559956366,0.0043075581617308435,trappe-ua
680,MoSDeF,MD,gromacs,waterSPCE,4,300.0,0.9977120068295912,0.007731741963963409,spce
681,MoSDeF,MD,gromacs,ethanolAA,7,320.0,0.7734634835484075,0.01025386544284534,oplsaa
682,MoSDeF,MD,lammps-VU,ethanolAA,4,320.0,0.7739698937813756,0.007675662063413411,oplsaa
683,MoSDeF,MC,gomc,ethanolAA,13,300.0,0.7926841606760833,0.0068209388038109,oplsaa
684,MoSDeF,MD,hoomd,ethanolAA,8,280.0,0.8145977624368678,0.006696865916335596,oplsaa
685,MoSDeF,MC,gomc,methaneUA,10,140.0,0.37563769131708336,0.003802170838079311,trappe-ua
686,MoSDeF,MD,hoomd,waterSPCE,8,280.0,1.006586065403208,0.0073866080785650705,spce
687,MoSDeF,MD,hoomd,ethanolAA,14,320.0,0.7721861651430819,0.007815921234174692,oplsaa
688,MoSDeF,MD,gromacs,ethanolAA,13,320.0,0.7742890080919363,0.01045779105914506,oplsaa
689,MoSDeF,MD,lammps-VU,ethanolAA,13,280.0,0.8166132397964951,0.006648032508297756,oplsaa
690,MoSDeF,MC,gomc,benzeneUA,4,450.0,0.6970589963865832,0.012798142644230064,benzene-ua
691,MoSDeF,MD,hoomd,waterSPCE,15,320.0,0.9862230351218432,0.007873234519559657,spce
692,MoSDeF,MD,gromacs,benzeneUA,0,450.0,0.6926677602467788,0.02061546719043926,benzene-ua
693,MoSDeF,MD,hoomd,waterSPCE,13,300.0,0.9977424210921918,0.007626098868721974,spce
694,MoSDeF,MD,hoomd,ethanolAA,10,300.0,0.7937787843551453,0.007247981241773637,oplsaa
695,MoSDeF,MD,lammps-VU,waterSPCE,2,300.0,0.9978844271540991,0.007563192211499348,spce
696,MoSDeF,MC,mcccs,waterSPCE,3,320.0,0.9855645077757333,0.006839777672813773,spce
697,MoSDeF,MC,cassandra,pentaneUA-constrain_bonds,8,372.0,0.5415899699541666,0.012273046804568049,trappe-ua
698,MoSDeF,MD,hoomd,waterSPCE,6,320.0,0.9861943701149131,0.007867133963074384,spce
